Tid;item1;item2;item3;item4;item5;item6
'3.7667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.7833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.8 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.8167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.8333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.85 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.8667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.8833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.9 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.9167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.9333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.95 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.9667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'3.9833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.0167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.0333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.0667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.0833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.1167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.1333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.1667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.1833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.2167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.2333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.2667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.2833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.3167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.3333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.3667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.3833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.4167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.4333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.4667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.4833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.5167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.5333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.55 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.5667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.5833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.6167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.6333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.65 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.6667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.6833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.7167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.7333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.75 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.7667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.7833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.8 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.8167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.8333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.85 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.8667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.8833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.9 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.9167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.9333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.95 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.9667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'4.9833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.0167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.0333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.0667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.0833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.1167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.1333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.1667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.1833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.2167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.2333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.2667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.2833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.3167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.3333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.3667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.3833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.4167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.4333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.4667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.4833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.5167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.5333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.55 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.5667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.5833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.6167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.6333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.65 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.6667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.6833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.7167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.7333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.75 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.7667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.7833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.8 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.8167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.8333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.85 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.8667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.8833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.9 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.9167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.9333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.95 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.9667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'5.9833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.0167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.0333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.0667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.0833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.1167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.1333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.1667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.1833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.2167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.2333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.2667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.2833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.3167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.3333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.3667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.3833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.4167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.4333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.4667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.4833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.5167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.5333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.55 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.5667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.5833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.6 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.6167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.6333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.65 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.6667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.6833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.7167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.7333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.75 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.7667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.7833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.8 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.8167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.8333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.85 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.8667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.8833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.9 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.9167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.9333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.95 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.9667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'6.9833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.0167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.0333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.05 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.0667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.0833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.1 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.1167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.1333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.15 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.1667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.1833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.2 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.2167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.2333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.25 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.2667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.2833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.3 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.3167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.3333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.35 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.3667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.3833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.4 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.4167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.4333 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.45 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.4667 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.4833 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.5 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
'7.5167 sec';[1093,944,60,44];[1159,943,61,45];[1225,944,60,44];[1093,992,60,45];[1159,992,60,45];[]
